,create_at,text,hashtag,retweet_count,favourite_count,user,geo,id
84,2023-08-25 12:05:43+00:00,"RT @js100radio: 🤔รู้ไหมว่าโรคทางจิตใจไม่ได้มีแค่ ""ซึมเศร้า"" โรค PTSD ก็เป็นอีกหนึ่งโรคที่เกิดขึ้นในผู้คนเยอะมากไม่ต่างกัน

ปัจจัยที่ทำให้เ…",,,,AntiCigV2,,846759454125178881
85,2023-08-25 12:05:36+00:00,"RT @js100radio: 🤔รู้ไหมว่าโรคทางจิตใจไม่ได้มีแค่ ""ซึมเศร้า"" โรค PTSD ก็เป็นอีกหนึ่งโรคที่เกิดขึ้นในผู้คนเยอะมากไม่ต่างกัน

ปัจจัยที่ทำให้เ…",,,,huntercat_ning,,4766332344
86,2023-08-25 12:04:47+00:00,"RT @js100radio: 🤔รู้ไหมว่าโรคทางจิตใจไม่ได้มีแค่ ""ซึมเศร้า"" โรค PTSD ก็เป็นอีกหนึ่งโรคที่เกิดขึ้นในผู้คนเยอะมากไม่ต่างกัน

ปัจจัยที่ทำให้เ…",,,,auksos,,1016015832864845825
87,2023-08-25 12:04:27+00:00,"RT @js100radio: 🤔รู้ไหมว่าโรคทางจิตใจไม่ได้มีแค่ ""ซึมเศร้า"" โรค PTSD ก็เป็นอีกหนึ่งโรคที่เกิดขึ้นในผู้คนเยอะมากไม่ต่างกัน

ปัจจัยที่ทำให้เ…",,,,GusgusKchp,,134083083
88,2023-08-25 12:03:35+00:00,"RT @js100radio: 🤔รู้ไหมว่าโรคทางจิตใจไม่ได้มีแค่ ""ซึมเศร้า"" โรค PTSD ก็เป็นอีกหนึ่งโรคที่เกิดขึ้นในผู้คนเยอะมากไม่ต่างกัน

ปัจจัยที่ทำให้เ…",,,,lPAK0RN,,486677269
89,2023-08-25 12:02:00+00:00,"RT @js100radio: 🤔รู้ไหมว่าโรคทางจิตใจไม่ได้มีแค่ ""ซึมเศร้า"" โรค PTSD ก็เป็นอีกหนึ่งโรคที่เกิดขึ้นในผู้คนเยอะมากไม่ต่างกัน

ปัจจัยที่ทำให้เ…",,,,twinwaew,,887862859035586561
90,2023-08-25 12:00:49+00:00,"RT @js100radio: 🤔รู้ไหมว่าโรคทางจิตใจไม่ได้มีแค่ ""ซึมเศร้า"" โรค PTSD ก็เป็นอีกหนึ่งโรคที่เกิดขึ้นในผู้คนเยอะมากไม่ต่างกัน

ปัจจัยที่ทำให้เ…",,,,OIL_RANGER36,,522367675
91,2023-08-25 12:00:02+00:00,"#วันนี้คุณรู้สึกอย่างไร

#จิตใจ #ซึมเศร้า #สุข #ทุกข์ #ประหลาดใจ #รู้สึกแย่ #โกรธ #เสียใจ #รังเกียจ #กลัว https://t.co/N46KksuEIe",,,,YcDrugstore,,1475638270633472000
92,2023-08-25 12:00:02+00:00,"🤔รู้ไหมว่าโรคทางจิตใจไม่ได้มีแค่ ""ซึมเศร้า"" โรค PTSD ก็เป็นอีกหนึ่งโรคที่เกิดขึ้นในผู้คนเยอะมากไม่ต่างกัน

ปัจจัยที่ทำให้เกิดภาวะ PTSD และวิธีการรักษา อ่านเพิ่มเติม : https://t.co/MqQcaRvIoa
#PTSD #Posttraumaticstressdisorder #ความเครียด #ซึมเศร้า https://t.co/V3C5zlG49w",,,,js100radio,,91053979
93,2023-08-25 10:15:24+00:00,"ฉันก็หาวิธีที่จะทำให้ตัวเองดีขึ้นเหมือนกัน…
ฉันเองก็ไม่อยากเป็นแบบนี้ 😢

#โรคซึมเศร้า #เศร้า #อกหัก #เหงา #ร้องไห้ #ซึมเศร้า https://t.co/dmNhWJmTbi",,,,Against2212,,1677176816350683136
94,2023-08-25 10:11:54+00:00,"เราพยายามแค่ไหน ก็มีแต่เราเท่านั้นที่รู้ 

#โรคซึมเศร้า #ร้องไห้ #เสียใจ #ซึมเศร้า #เศร้า",,,,Against2212,,1677176816350683136
95,2023-08-25 09:11:10+00:00,"RT @tawan247: แกไปได้ดี แต่เรายังยืนรักษาแผลตัวเองที่เดิมอยู่เลย.......

#เธรดเศร้า #ความรู้สึกของวันนี้ #ซึมเศร้า https://t.co/9kxb0y3G8Q",,,,44nanyGuss,,1531510420933988352
96,2023-08-25 08:11:46+00:00,"ตอนนี้ไม่กล้าคุยกับใครเลย แค่ตอนนี้ผม ไม่อยากพาใครมาวิตกกังวลไปด้วย ผมรู้สึกว่าตัวเองเข้าขั้น Introvert / Dead air ไปแล้ว ใช้ชีวิตแต่ละวัน มองไปก็ไม่รู้จะเริ่มต้นยังไง พบเจอแต่คนปั่นหัวหลอกบ้าง ผมเองก็เริ่มหมด passhion ผมขอรักษาตัวซักพัก จะกลับมาเล่นนะครับ
#ซึมเศร้า #deadair https://t.co/BT8qb22rao",,,,mr_dnk969,,1588621438784716800
97,2023-08-25 07:49:59+00:00,"RT @chewycloudbake: 🙏🏼ใครเห็นฝาก rt หน่อยนะคะ

พร้อมส่ง #ขนมโฮมเมด อร่อยจริง!🪄
รอบส่งภายใน 1-2 วัน #อร่อยบอกต่อ ต้องลอง!
🧈ใช้เนยแท้ 100% แล…",,,,bababoo101,,1597383979749236738
98,2023-08-25 07:46:40+00:00,"RT @chewycloudbake: 🙏🏼ใครเห็นฝาก rt หน่อยนะคะ

พร้อมส่ง #ขนมโฮมเมด อร่อยจริง!🪄
รอบส่งภายใน 1-2 วัน #อร่อยบอกต่อ ต้องลอง!
🧈ใช้เนยแท้ 100% แล…",,,,nornorNAANA,,1273729098624294912
99,2023-08-25 07:40:42+00:00,"RT @chewycloudbake: 🙏🏼ใครเห็นฝาก rt หน่อยนะคะ

พร้อมส่ง #ขนมโฮมเมด อร่อยจริง!🪄
รอบส่งภายใน 1-2 วัน #อร่อยบอกต่อ ต้องลอง!
🧈ใช้เนยแท้ 100% แล…",,,,plugyig48,,1553370987155976192
